# Stores to EXCLUDE from the WordPress import (source: Delete_Store_1st_August 1.xlsx).
# One name per line, matched case-insensitively against WP term names
# with choose_type Store (or missing). The store AND every coupon/deal
# filed under it are skipped. Lines starting with # are comments.
Mosaic Wellness
IndiaGoSolar
CredR
MilTopOnline
MissChase
MumsBuddy
Moserbaer
Etashee
PrintBucket
TravelEasy
Nirlep Online
PlushPlaza
Diabetes India Store
Vitruvien
FlitWebs
KhaoChatpata
GetNatty
VK Scientific
ElectricPlaza
JaxtaKart
World Art Community
CheckGaadi
JusTrufs
MeraFoodChoice
Uniscarf
Big Breaks
The Jewelry Land
DoSeat
InfinitiMart
Nutrimed
Fyne
ElanStreet
Sins Forever
PayZapp
Moods
OneStop Fashion
Schwabe
Wiwigo
MedPlus Lab
MyShopBazzar
10Kya
OnDoor
KhayeJao
Flintobox
iRide
Tangy
Mr. Right
Trendy Divva
PustakMandi
GlobalSkillup
BooyahChicago
GiftsOfLove
Tiktauli
Globe Host
StyleDotty
JhaKhas.com
WheelStreet
Place Of Origin
Photu Print
LYF
Health Zone RO
OffBeat
EzeePay
Sanskruti
WishVilla
M2ALL
Shop Spring Break
Yellow Fashion
EveningFlavors
TheEthnicwear
Cakestudio
Heritage Fresh
LeEco
SkinOutfit
Morselo
Mahindra First Choice
CraftyChimp
SavvyMob
CASHe
Eternal Diva
Ridlr
Woodpecker Furniture
Zingfy
JuttiChoo
MedisysKart
Redesyn
Flora2000
GiggleGlory
BonOrganik
Peacock Colours
The Fine World
BookMyTicket
Buddha Herbals
SolversInc
Adamis
Voolsy
Kalaniketan
Fabellus
Hashtag
Zooomberg
Shop Rhea
Print a Wallpaper
IndoSelection
BookMeIn
Now Bike
HomePunch
Marshalls Pet Zone
TicketGenie
OmVed
Clonko
Fragrantiz
Rosara Home
Dry Fruit Basket
Town Essentials
Balaji Dry Fruits
HomeAway
SheBazaar
Rs999
JewelsLane
TfrHome
GuitarHall
Univercell
CupikDesign
LabelShabel
Wlend
Uniform Republic
Love For Pretty Things
TeneraFresh
Hire4Drive
FashionAffair
VedicLine
ThePipal
Dudubu
VitSupp
BeeCabs
Besiva
Blue Lemon India
Blowhorn
HomeGlamour
Ediy
Zywee
BrownTree
Twigly
RentSher
Burgundy Box
BuyDeBest
FatFatiya
People Online
Planet Fashion
Indi Foodies
Shuttl
Unnati Silks
Calorie Care
CottinFab
Security Kart
AnHerb
Canvas Print
Casa Amarilla Goa
SwagShirts99
FullTank
Kaapus
Hyderabad Online Gifts
Avenue Sound
Delight Foods
eSwasthya
TaxRaahi
Burlingtons
CraftStages
Hitech Crackers
Gift My Emotions
Wisholize
MedPlus Lens
Fashionous
Hostomy
Online Trouble Shooters
Elala
SarvLiving
Giftract
Savingo
HappyStems
Gionee
Kolhapuri Chappal House
Swaraj Shop
Style Cracker
SVTM Jewels
TheHLabel
Urban Pitara
Foodklik
Fostelo
Gift Bazaar
Fitso
NativeBag
Yoyo Fashion
IndiaGift
Food Memories
Shopmonk
Voler Cars
HostingRobo
The Bag Talk
Uber Urban
Pink Blue India
Just Phulkari
Rugs And Beyond
SSS Cart
The Watch Shop
Cyahi
CelfiDesign
Wicked Ride
Metro Bikes
Reliance Global Call
Mithai4All
LoveVivah
SeaSoul Cosmetics
GatiConnect
Zyppys
My Urban Country
Goomo
Klasse
HubLead
Lylablanc
Cookifi
YourOwnRoom
Olready
JayaLakshmi
Jamsticks
iZiffy
Gehnay
DivineHaat
Homebethe
Terraa
Shopping Lala
Vuro
SpiceStyle
Brijraj
CountryFlora
Cramster
Wanna Party
With Love N Regards
O4Organic
Iftar Party
Izofy
Naanjil
Tket
The Watch Store
EthnicSmart
FashionAt9
Faye
TravelSpice
Perfume Booth
Sankee
Imon Holidays
ToyCart
IstyleFreak
WishBells
In Houz Decor
Autographix
GuestHouser
Gurgaon Florist
Gute Reise
Industrykart
Yes No
Winsant
Juno Clinic
Motivate Box
KadamBaby
Sarees Bazaar
Kidzig
Leder Warren
Misfit
LT Fab
Mobilo99
MyLastminuteTrip
Naturell India
Navrang Creations
New Beauty Centre
Perfico
Sukkhi
The Cat’s Pajama
The Ivory Needle
The V Collection
Trip Delightly
Trujet
Fare Hawker
Woodofa
ShopOnn
Shop Sarah
OrnaShine
ShoppyZip
Ezeelo
Rockrush
Suit Up India
Twach
Yes2Yoga
IsuperSport
Floral India
Hobby Ideas
Door2Door Car Wash
Giftam
VivoCarat
TeaMonk Global
JewelHub
HopeWebHost
Vorra Fashion
GourmetCo
PrimeTrip
NoKeys
WashApp
Rozerra
Woohoo
NutCrunch
RoseGal
My Pooja Box
InFocus
Securekart
Specade
My Milestones
MadsBag
PerfumeCrush
Dvibgyor
XoxoStyle
Ghasitaram
Manndola
Scootsy
StyleEbox
Host1Plus
Qriyo
GoEventz
EZLife
Texet
T-shirtwala
Dazzhome
Woollen Wear
Fitternity
Standard Chartered
Ziyo
Gobyair
Make Quick Shopping
Online Books Store
KwikTreat
MrAirTicketIndia
Unplan
UpKeepYoga
Gift Company
TVSA
Cuirally
Gifts To India 24×7
Zobello
YourShoppingKart
Tajawal
Indian Saree Store
Banjara’s
MyIndianStay
The Vanca
Save On Medicals
Wanna Shop
Warranty Bazaar
Whipped
VowCarClinic
VivaahSurat
UrbanTouch
URead
Shopizy
CakeZone
MyDidi
FaverDeal
Hariom India
Firangi Bake
Lety Shops
Natty
Paparazzi Closet
The MVP
Mafatlal Online
The JF Studio
The Orange Hosting
Nafa
Hollywood Optician
Cipla
Ratlami Tadka
Trends And Me
Kaavi Fab
My Beauty Bazaar
Easy Wall Prints
Stationery Shop
SugarFreeMart
Flower Magics
Trendy Way
TheRiceBag
Garage Works
India Flower Gift Shop
Crapgoos
StylFlip
Trabol
GoodChoice India
CoutLoot
TheTickleToe
The Gourmet Jar
Tenera Fresh
Marry Brown India
Zokudo
TasteBells
Bauble Love
Bud White Tea
Sivvi
CandySkin
Charge4u
MobTym
Gifts2Surprise
Schoolling
Indian Gifts Adda
DesiClik
My Desi Wear
PaperKart
Morpheme Remedies
Incredio
Trideal
My Fund Bucket
Suncity Beads
Global Artisans
Tralamo
The Prime Watches
FlightXP
Shopist
Deals And You
eFundoo
Emotion Gift
Exprez
Herbal Hills Prime
Tekvi
Fitness At Home
Funstay
Gaadi 360
Games On Doors
Haanum
GeekDawn
Ziffy Homes
Ticket4U
Nextfad
Glowship
GoIndia Organic
Snap Galaxy
Unboxed
StyleBaby
Pet Shop India
I Say Organic
Rustic Realities
ScaleInch
Renew It
RoomnHouse
SkillzPot
OliveTrails
One Huge Step
Pink Hippo Store
Insasta
Kasturi Diamond
Zoiro
La Origin
Spice Vacations
Happy Cook
Repair Easy
Parts Big Boss
Recliners N More
Smart Circle Group
MedsMantra
Helium For Men
Just For Decor
Just Shop 24
Ocean Home Store
SkyPlanners
Bitbns
Romoch
ManVigor
Play N Live
Splits
Zooty
Zoctr
Origin Shop
Francesco’s Pizzeria
Sale Pe Deal
Flatworld Rewards
EZMall
Ditto
LaYuva
Flower Portal
Kolkata Cake
Lawman Pg3
Milmila
Women Cabs
WonMart
Wudstay
WWF India
Sasti Ticket
INV Home
Mufubu
Oakwood Asia
Nino Bambino
Mesmora
Parampada
FatCow
Yojini
YouShine
WowTrue
WoofBox
WYRA
xFyro
LadyRaga
EcoRentACar
Live In Pride
Devils Circuit
Vyom Design
Rise Only
The Living Room
Glasseslit
Fashion Valet
Globol
Vostrolife
Liberty Lifestyle
EatZ
FoodyBuddy
Go Recharge
Drivezy
Yebo India
Prasadz
Singh Styled
Mirah Belle
Shop USA
Raisin Global
Paperboy
Way2Flowers
Spice And Pulses
Jalongi
Kamala Cinemas
Kaveri Travels
Kohl’s
Neulife
One India Recharge
NTL Taxi
Clubyork
Stylenanda
Styleonme
Flower Engine
Juna Purana
Northmist
Zugo
Globalkart
Herb India Store
Hobby Workspace
Ferosh India
Webovaa
StartUp HR Toolkit
Hooq
Pulse Pharmacy
IndusUno
JMK Travel
Garage Pro
The NutriHub
Nature’s Co
Mitsubishi
Sanyo
LittleKangaroos
Simpli Distance
DHI Hair Care Products
RentMacha
The Flora
Express Clinics
BerryTree
Just Born
Budds Buddy
Instarem
WhiteHatJr
Whiskers
Kreeva
Nurtr
eDreams
GoBikes
Jindal Herbals
OnlineBusiness
Electricity Bill Payment
BookOTrip
OrderHealth
RedMoments
Niraamaya
BOHECOLife
Evibe
KitchenBuff
UrbanShore
Packt
eMedix
Shemaroo
Dune London
ClassyQueen
Rapidmile
YourDoorStep
Oakter
STS Holidays
MyPanditG
Kidzbyte
ProteinShoppe
VitaminPlanet
VisionWagon
MyTeam11
Sportsji
ScoutMyTrip
Jumkey
SolarLedBrickLight
Uniplaces
Isharya
Vill O Tale
RelFood
Sanjivsir
IBVPN
Solid WP
Lalamove
Environics
Proherbal
Homingos
Zissto
Mother’s Recipe
ClearDekho
Kal Hans
Matra
Emeat
Inkfish
Sarva
Vya Naturals
Salad Days
Skin Easi
GiftWaley
Parrot Crow
Milanoo
Dreamzee
FabBox
Finaaz
SpringFit
Les Petits
Seer Secrets
The Men’s Lab
Flyofy
ATH Leaps
MakeMKV
Learner Circle
OdiKala
Wotoba
Emobik
Tskhadi
Online Server
Googlias
Private Lives
Oriental Botanics
India Supplement
Wefast
DBSoft
Evolve Snacks
Wanna ink
Klick N Print
FastTech
Flatheads
byPure Naturals
Possible
Dhani
FoneGeek
EmEditor
TeeStory
Super Organic Market
Safalta
The Raisins Hut
Expertrons
SPIN CYCLES
Toppr
Infinix
Zomato Nutrition
Rocketeers
Khaalijeb
Virtual Kart
Shopee
Pickrr
Cerina
Frescia
Siya Fashion
Badman Grooming
Go First
Rareism
eCraftIndia
Balmain
Kate Spade
Paul Smith
Tata Health
Bechef
Read With Us
Cloud Tailor
Litt Chai
Payed
Duke
Caresupp
Slova Cosmetics
iMonitorSoft
Cora Health
Veeam
Nutriglow
Betterhalf
Sivakasi Crackersz
Aromahpure
nStore
The Great Escape Water Park
Gentle Beast
SlimXP
Uni Paycheque
Sorrentina
MyDash
ReChord
Bigasoft
Reloved
Ultra Jhakaas
Indulge
Dyanora
Skimmylo
Tradeviser
Taxcare
LinkedIn Premium
Perplexity
ZET
ProHoster
Coco Collection
IDFC CC
Ezeego1
AXIS Bank
Fabulloso
Pretty Secrets
Justbooks
Pizza Coupons
Mybustickets
Mobikwik
Indiareads
iShopinternational
Trendmagnet
Smiledrive
FemNmas
GreenGold Store
Knowledge Woods
GiftsnFlowers Online
The Yellow Door
TheKhadiShop
DeoBazaar
Indian Astrology
GetMeCab
KillerKart
SetStay
Amway
Orange Travels
SRS Travels
Gozefo
NativeSpecial
Laundry
Nutriherbs
925 Silver Jaipur
Kingdom Of Dreams
Haptik
Hicare
VistaRooms
Hostsoch
Niki.ai
Jio Money
Personalized Gift Items
HTC
Demyto
Mitashi
Nutracart
eJohri
TeaFloor
Skill4Win
Stylo Shopping
FBB Online
IHO
Flora Cake
FabFashionz
LookPlex
Party Hunterz
IndianArtHub
Sports4Change
Deco Window
iMithila
SoldSmile
Easyday Club
Kiukart
Purple Panchi
Sports Simba
TistaBene
Atrangi
My Pet Buddy
Zotory
Threads & Shirts
Suit Limited
The Vault
Specs Master
Shoptronics
Soundbot
MightyXKart
Upwardly
Angi
Book My Sawari
OnlineTyari
MomzJoy
MeTripping
Ekbote
Togedr
Organic Origins
SSP Advantage
The Spice Market
Farm & Garden
Wirohub
Krafted With Happiness
ToniQ
Wok Express
Silverati
Shop Desi Now
ScreenPro
Moon Boy
Host Byte
Aston Rouge
Handicrafts In India
Mark Ryden
Love To Bag
Kuch Bhi On Call
MyraMed
Humptee Dumptee
Kindle
KashMate
Naytr
Spruce Shave Club
YehShop
Yocarz
Prowl
Cosme-de
Ivrose
Real Matcha
Naturetrails Resort
Zookr
Ashleystewart
Thebandha Hotels
Lunarpages
TBDress
Ms. Taken
Doers
Ealpha
Fabelio
Arttdinox
Pikbuk
Delfoo
Plnk Store
Floralis
CakeGift
Demoza Stores
Mad Over Print
Estudynotes
Zone Of Deals
India Emporium
CashMyCar
Gearvita
Indian Furnitures
InLiving
Just Relief
LuluWebStore
Babies Bloom Store
Plus Size
O-General
Intex
Nykaa Man
Smile Delivery
Little West Street
Ruchiez
Anouk
AromaTreasures
Gamezy
Mealful Rolls
Shae
Zebrs
UpThemes
HousieQuiz
DocsApp
E Gifts Portal
P&G Shop
Extra Sleep
Muve Acoustics
Next2Skin
WP OnlineSupport
Mirillis
Teachable
Silver Little Things
Smart Medical Buyer
Zola
HappyLocate
Eco Clothing
Gravit Designer
Fan2Play
Unlu
ZTE
Vishisht
Cocobroma
RedGear
Pulp
Kiabza
Rajnigandha
Blue Tribe
Nutrispice
Hostmines
Ofypets
Boutiquefeel
Tiger Pet
Riyo Herbs
The Cocoon Shop
Sage Apothecary
Attic Salt
Tacfab
Gift Card Granny
Khari Foods
Endora
TextStudio
iToo Software
Strive
Aarke
Nostalgia Homes
Rju
Doctor’s Choice
Unbottle
PDF Compressor Server
Procesio
Microcad
PipelinePRO
Cutis Consumer
WinTask
CreateStudio
IcoFx
Beenokle
Flashfxp
PDF FlipBook
Flicksbee
Deal99
Mobile2b
Jabbar Travels
GSRTC
Ullu
Net Protector
Grel
Rebolt
Homeshop18
Goa Hotels
High5Store
Talash
Easy Spare Part
Get Junk’d
Raksha Bandhan
HireMeCar
FreshMenu
My Luxury Bargain
Lurap
GlobaliWeb
Patakha
Magic Crate
PipaBella
Paytm Mall
Lucky Lips
Jio Phone
Lacira
Souq
Sattviko
Tratoli
Yerha
Madanyu
Purayati
The Fappy Store
DocOnline
Cake Flowers Gift
The Printing Shop
Zumba Shop
Mobile Gear
Steelo
Pechkus
HippoCabs
Gifts N Cake
PupKart
Nallu Collection
Mad Morning
Innisfree
Easies
Integriti Clothing
Hidden24 VPN
Indian Earth
Stopzilla
RoseWe
PrivateVPN
Vypr VPN
Grocerz4U
Bellelily
TeesWorld
Mashup
Doc Prime
JetStay
Hecmo
Outback
Phive Rivers
Indian Flower Cake N Gifts
PrettyPetals
Just Stickers
Vego
Zero
ToffyHouse
PinkRabbit
Orange Something
TravelODesk
Eboundhost
HeimdalSecurity
MacSentry
SaturnVPN
SaferVPN
Vistacreate
Incomedia
Cake2Homes
Tune4Mac
Laiqa
Bourge
ZoneAlarm
Favorz
White Aura Vastu Store
My11Circle
Terra Origin
ArtRage
CaptainForm
EndNote
Danta Herbs
Biogetica
Orion
Adorna
Nefficar
L’Occitane
The Cotton Villa
Tiny Mighty
Tube Sites Submitter
Driver Genius
Seventh String
Exlevel
ReadyNAS Vault
NooCube
PhenQ
DET Practice
Corbett Software
Dexter Jackson
Scivation Xtend
Labrada
HostelPass
Riyaz
QoreUps
PreferForex
Freedom
BodyTales
Fabsoft
VehicleCare
Foursixty
PicaLoader
PhotoAI.me
OctaFX
Trinka
Future Skills
Viva Glam
Skuad
Rush
Isomeds
Bumtum
Qnix
StoryLab.ai
Vyom India Organics
QuoteIQ
Embudu Village
Oaga Art Resort
